# BrowserLayout line-break baseline attribution — 2026-08-31
# Diagnostic artifact only; docs/browser-layout/line-break-baseline/redchamber.tsv was not modified.
# golden_lines/before_lines/after_lines are the existing fingerprint text-fragment count, not logical box-line count.
spine	classification	subtype	earliest_provenance	root_x_overlap	root_x_delta_pt	golden_pages	before_pages	after_pages	golden_lines	before_lines	after_lines
1	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
2	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
3	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
4	PREEXISTING_LINE_BREAK_DIFF	same-count-line-metrics	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	12	12	12	26	26	26
5	PREEXISTING_LINE_BREAK_DIFF	same-count-line-metrics	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	16	16	16	30	30	30
6	PREEXISTING_LINE_BREAK_DIFF	same-count-line-metrics	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	19	19	19	33	33	33
7	PREEXISTING_LINE_BREAK_DIFF	same-count-line-metrics	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	10	10	10	24	24	24
8	PREEXISTING_LINE_BREAK_DIFF	same-count-line-metrics	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	15	15	15	29	29	29
9	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	8	8	8	250	264	264
10	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	5	5	5	123	130	130
11	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	3	3	3	85	88	88
12	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	4	4	4	83	90	90
13	EXPECTED_X_ONLY	fragment-x-only	ROOT_FRAGMENT_X	yes	3.66	1	1	1	1	1	1
14	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
15	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	21	23	23	784	848	848
16	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	yes	3.66	2	2	2	36	40	40
17	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	15	16	16	551	589	589
18	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	7	7	7
19	PREEXISTING_PAGE_DIFF	page-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	21	22	22	767	823	823
20	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	14	15	15
21	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	13	14	14	487	517	517
22	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	13	14	14
23	PREEXISTING_PAGE_DIFF	page-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	26	28	28	925	991	991
24	PREEXISTING_LINE_BREAK_DIFF	same-count-line-range-or-width	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	8	8	8
25	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	13	14	14	463	489	489
26	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	8	9	9
27	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	14	14	14	479	502	502
28	PREEXISTING_LINE_BREAK_DIFF	same-count-line-range-or-width	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	8	8	8
29	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	13	13	13	418	442	442
30	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
31	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	11	12	12	387	414	414
32	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
33	PREEXISTING_PAGE_DIFF	page-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	9	10	10	299	310	310
34	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
35	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	11	11	11	360	380	380
36	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
37	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	8	8	8	262	274	274
38	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	6	6	6
39	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	11	12	12	406	432	432
40	PREEXISTING_LINE_BREAK_DIFF	same-count-line-range-or-width	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	12	12	12
41	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	13	13	13	455	482	482
42	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
43	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	10	10	10	348	364	364
44	PREEXISTING_LINE_BREAK_DIFF	same-count-line-x	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	5	5	5
45	PREEXISTING_PAGE_DIFF	page-count	USED_VALUE_FINAL_WIDTH+LINE_HEIGHT_FINALIZATION	yes	3.66	14	15	15	519	540	540
46	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	yes	3.66	2	2	2	33	37	37
47	PREEXISTING_PAGE_DIFF	page-count	PHASE_4F0_HINTS+USED_VALUE_FINAL_WIDTH	yes	3.66	40	41	41	1431	1505	1505
48	PREEXISTING_LINE_BREAK_DIFF	text-fragment-count	USED_VALUE_FINAL_WIDTH	yes	3.66	1	1	1	17	18	18
