# Compared all 458 spines; only the 163 changed fingerprints are listed.
spine	before_pages	after_pages	before_fragments	after_fragments	before_first	after_first	before_last	after_last	before_sha	after_sha
15	24	24	852	852	19.25,257.49,340.00,22.10|274.39|6c5c8508	19.25,257.49,340.00,22.10|274.39|6c5c8508	37.66,255.10,177.65,22.10|271.60|4a74da37	37.66,255.10,177.65,22.10|271.60|4a74da37	62a3f6d9df3cc11c	eee20d2a6829aabd
19	23	23	835	835	19.25,257.49,346.46,23.80|275.51|9f16f1b1	19.25,257.49,346.46,23.80|275.51|9f16f1b1	37.66,586.60,215.18,22.10|603.10|1b657007	37.66,586.60,215.18,22.10|603.10|1b657007	4d190f8c45f69ba4	dea7acc33da9920b
21	15	15	521	521	19.25,257.49,311.81,23.80|275.51|c02273d0	19.25,257.49,311.81,23.80|275.51|c02273d0	37.66,343.50,290.70,22.10|360.00|1f9c0ff8	37.66,343.50,290.70,22.10|360.00|1f9c0ff8	1896cc6269cc73fc	0f0270a1788a55bd
23	29	29	1005	1005	19.25,257.49,346.46,23.80|275.51|2b23d450	19.25,257.49,346.46,23.80|275.51|2b23d450	37.66,233.00,209.95,22.10|249.50|07f96915	37.66,233.00,209.95,22.10|249.50|07f96915	6375c52108b4e34c	6d7b5b8d54009927
29	14	14	450	450	19.25,257.49,311.81,23.80|275.51|a7dea468	19.25,257.49,311.81,23.80|275.51|a7dea468	37.66,520.30,96.90,22.10|536.80|eeed701e	37.66,520.30,96.90,22.10|536.80|eeed701e	ae5b54f882a415b2	07c1c33b52d71034
33	10	10	317	317	19.25,257.49,346.46,23.80|275.51|1f051d79	19.25,257.49,346.46,23.80|275.51|1f051d79	37.66,630.80,290.70,22.10|647.30|47e1ed86	37.66,630.80,290.70,22.10|647.30|47e1ed86	8137b751aa6c932a	b1224355a3128673
35	12	12	385	385	19.25,257.49,346.46,23.80|275.51|528b30fd	19.25,257.49,346.46,23.80|275.51|528b30fd	37.66,277.20,113.05,22.10|293.70|d6c7592a	37.66,277.20,113.05,22.10|293.70|d6c7592a	3bf94092741afba5	3e3c87927c8ec214
41	14	14	487	487	19.25,257.49,329.14,23.80|275.51|0a0657d4	19.25,257.49,329.14,23.80|275.51|0a0657d4	37.66,630.80,258.40,22.10|647.30|3aad480e	37.66,630.80,258.40,22.10|647.30|3aad480e	77c839d958266c91	ace0a9e53fa4ec7a
43	11	11	368	368	19.25,257.49,346.46,23.80|275.51|3a9364b9	19.25,257.49,346.46,23.80|275.51|3a9364b9	37.66,299.30,161.50,22.10|315.80|aee5b1c1	37.66,299.30,161.50,22.10|315.80|aee5b1c1	4d514e2e241a8c1a	90dadefb75c1f084
47	43	43	1513	1513	19.25,257.49,346.46,23.80|275.51|735f2bbd	19.25,257.49,346.46,23.80|275.51|735f2bbd	37.66,763.40,64.60,22.10|779.90|2001c869	37.66,763.40,64.60,22.10|779.90|2001c869	6300a6889e80e107	94539f05905697c5
49	18	18	596	596	19.25,257.49,346.46,23.80|275.51|772c96a6	19.25,257.49,346.46,23.80|275.51|772c96a6	37.66,365.60,80.75,22.10|382.10|2a688f71	37.66,365.60,80.75,22.10|382.10|2a688f71	0432cab3d4730c39	523de4562d502d80
