state	spine	pages	fragments	first	last	sha
current-font-no-reader-height-sample	0	1	0	-	-	e3b0c44298fc1c14
current-font-no-reader-height-sample	4	12	26	129.10,29.85,18.19,24.99|48.77|0eb7ee7e	164.40,543.80,61.20,21.42|560.02|0b539352	50c475d6380acc39
current-font-no-reader-height-sample	15	24	852	19.25,257.49,340.00,22.10|274.39|6c5c8508	37.66,255.10,177.65,22.10|271.60|4a74da37	62a3f6d9df3cc11c
current-font-no-reader-height-sample	17	17	595	19.25,257.49,342.21,23.80|275.51|391c3e45	37.66,321.40,48.45,22.10|337.90|2e0d98ef	56d837b8f94ea5b4
current-font-no-reader-height-sample	31	12	414	19.25,257.49,329.14,23.80|275.51|6c8ed029	37.66,542.40,177.65,22.10|558.90|f6878b05	d9ad73f61d8ec07b
current-font-no-reader-height-sample	138	24	806	19.25,257.49,340.76,23.80|275.51|1adab91e	37.66,343.50,193.80,22.10|360.00|e4bb3043	dec130159949a3df
current-font-no-reader-height-sample	300	13	755	16.00,247.92,76.50,30.60|270.91|907dfa50	228.70,719.37,112.89,17.68|733.66|7aebad3a	867005b4b0a6c011
current-font-no-reader-height-sample	457	16	562	16.00,247.92,137.70,30.60|270.91|673ee42e	34.00,47.37,241.77,17.68|61.66|e1ad00c3	d2f8c1296e56e2e3
current-font-reader-height-sample	0	1	0	-	-	e3b0c44298fc1c14
current-font-reader-height-sample	4	12	26	129.10,29.85,18.19,24.99|48.77|0eb7ee7e	164.40,543.80,61.20,21.42|560.02|0b539352	50c475d6380acc39
current-font-reader-height-sample	15	24	852	19.25,257.49,340.00,22.10|274.39|6c5c8508	37.66,255.10,177.65,22.10|271.60|4a74da37	62a3f6d9df3cc11c
current-font-reader-height-sample	17	17	595	19.25,257.49,342.21,23.80|275.51|391c3e45	37.66,321.40,48.45,22.10|337.90|2e0d98ef	56d837b8f94ea5b4
current-font-reader-height-sample	31	12	414	19.25,257.49,329.14,23.80|275.51|6c8ed029	37.66,542.40,177.65,22.10|558.90|f6878b05	d9ad73f61d8ec07b
current-font-reader-height-sample	138	24	806	19.25,257.49,340.76,23.80|275.51|1adab91e	37.66,343.50,193.80,22.10|360.00|e4bb3043	dec130159949a3df
current-font-reader-height-sample	300	17	755	16.00,247.92,76.50,30.60|270.91|907dfa50	228.70,131.00,112.89,23.80|148.35|7aebad3a	26fbd8af654aa3dd
current-font-reader-height-sample	457	16	562	16.00,247.92,137.70,30.60|270.91|673ee42e	34.00,392.80,241.77,23.80|410.15|e1ad00c3	f16f9336751253dc
historical-source-reader-height-sample	0	1	0	-	-	e3b0c44298fc1c14
historical-source-reader-height-sample	4	12	26	130.59,29.85,17.69,23.21|47.80|0eb7ee7e	164.64,543.80,60.72,19.12|558.80|0b539352	7a2d43bb5d1e21f8
historical-source-reader-height-sample	15	23	847	19.25,257.49,340.00,22.10|274.39|6c5c8508	37.66,321.40,177.65,22.10|337.90|4a74da37	65398a3830cc2a72
historical-source-reader-height-sample	17	16	589	19.25,257.49,333.24,22.10|274.59|391c3e45	37.66,431.90,48.45,22.10|448.40|2e0d98ef	b1f48bab6e69ab04
historical-source-reader-height-sample	31	11	409	19.25,257.49,349.86,22.10|274.59|986a5b5c	37.66,697.10,177.65,22.10|713.60|f6878b05	82a92e4d4f477287
historical-source-reader-height-sample	138	22	784	19.25,257.49,349.11,22.10|274.59|b432c0cf	37.66,498.20,193.80,22.10|514.70|e4bb3043	b63102929be3254a
historical-source-reader-height-sample	300	13	751	16.00,247.92,76.50,30.60|270.91|907dfa50	228.70,418.74,112.89,17.68|433.03|7aebad3a	e7af350e2745dd12
historical-source-reader-height-sample	457	14	550	16.00,247.92,137.70,30.60|270.91|673ee42e	34.00,666.32,241.77,17.68|680.61|e1ad00c3	034392811e50040d
old-font-no-reader-height-sample	0	1	0	-	-	e3b0c44298fc1c14
old-font-no-reader-height-sample	4	12	26	130.59,29.85,17.69,23.21|47.80|0eb7ee7e	164.64,543.80,60.72,19.12|558.80|0b539352	7a2d43bb5d1e21f8
old-font-no-reader-height-sample	15	23	847	19.25,257.49,340.00,22.10|274.39|6c5c8508	37.66,321.40,177.65,22.10|337.90|4a74da37	65398a3830cc2a72
old-font-no-reader-height-sample	17	16	589	19.25,257.49,333.24,22.10|274.59|391c3e45	37.66,431.90,48.45,22.10|448.40|2e0d98ef	b1f48bab6e69ab04
old-font-no-reader-height-sample	31	11	409	19.25,257.49,349.86,22.10|274.59|986a5b5c	37.66,697.10,177.65,22.10|713.60|f6878b05	82a92e4d4f477287
old-font-no-reader-height-sample	138	22	784	19.25,257.49,349.11,22.10|274.59|b432c0cf	37.66,498.20,193.80,22.10|514.70|e4bb3043	b63102929be3254a
old-font-no-reader-height-sample	300	13	751	16.00,247.92,76.50,30.60|270.91|907dfa50	228.70,418.74,112.89,17.68|433.03|7aebad3a	e7af350e2745dd12
old-font-no-reader-height-sample	457	14	550	16.00,247.92,137.70,30.60|270.91|673ee42e	34.00,666.32,241.77,17.68|680.61|e1ad00c3	034392811e50040d
old-font-reader-height-sample	0	1	0	-	-	e3b0c44298fc1c14
