spine	classification	golden_pages	golden_fragments	golden_first	golden_last	golden_sha	historical_pages	historical_fragments	historical_first	historical_last	historical_sha	current_pages	current_fragments	current_first	current_last	current_sha
0	UNCHANGED	1	0	-	-	e3b0c44298fc1c14	1	0	-	-	e3b0c44298fc1c14	1	0	-	-	e3b0c44298fc1c14
1	UNCHANGED	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f
2	UNCHANGED	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f
3	UNCHANGED	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f
4	CURRENT_SOURCE_ONLY	12	26	130.59,29.85,17.69,23.21|47.80|0eb7ee7e	164.64,543.80,60.72,19.12|558.80|0b539352	7a2d43bb5d1e21f8	12	26	130.59,29.85,17.69,23.21|47.80|0eb7ee7e	164.64,543.80,60.72,19.12|558.80|0b539352	7a2d43bb5d1e21f8	12	26	129.10,29.85,18.19,24.99|48.77|0eb7ee7e	164.40,543.80,61.20,21.42|560.02|0b539352	50c475d6380acc39
5	CURRENT_SOURCE_ONLY	16	30	130.59,29.85,17.69,23.21|47.80|0eb7ee7e	127.67,543.80,134.66,19.12|558.80|04f5ac78	ffb6122ecc5b1a15	16	30	130.59,29.85,17.69,23.21|47.80|0eb7ee7e	127.67,543.80,134.66,19.12|558.80|04f5ac78	ffb6122ecc5b1a15	16	30	129.10,29.85,18.19,24.99|48.77|0eb7ee7e	129.25,543.80,131.50,21.42|560.02|04f5ac78	5e5fce8ab35edb09
6	CURRENT_SOURCE_ONLY	19	33	130.59,29.85,17.69,23.21|47.80|0eb7ee7e	164.64,543.80,60.72,19.12|558.80|f43252d7	ca5e78faf538bf79	19	33	130.59,29.85,17.69,23.21|47.80|0eb7ee7e	164.64,543.80,60.72,19.12|558.80|f43252d7	ca5e78faf538bf79	19	33	129.10,29.85,18.19,24.99|48.77|0eb7ee7e	164.40,543.80,61.20,21.42|560.02|f43252d7	6f516fd90d032acb
7	CURRENT_SOURCE_ONLY	10	24	130.59,29.85,17.69,23.21|47.80|0eb7ee7e	164.64,543.80,60.72,19.12|558.80|6634b282	59974dd47f2542b2	10	24	130.59,29.85,17.69,23.21|47.80|0eb7ee7e	164.64,543.80,60.72,19.12|558.80|6634b282	59974dd47f2542b2	10	24	129.10,29.85,18.19,24.99|48.77|0eb7ee7e	164.40,543.80,61.20,21.42|560.02|6634b282	0eb028d29a27b741
8	CURRENT_SOURCE_ONLY	15	29	130.59,29.85,17.69,23.21|47.80|0eb7ee7e	164.64,543.80,60.72,19.12|558.80|6634b282	461ee4fbfd5dc403	15	29	130.59,29.85,17.69,23.21|47.80|0eb7ee7e	164.64,543.80,60.72,19.12|558.80|6634b282	461ee4fbfd5dc403	15	29	129.10,29.85,18.19,24.99|48.77|0eb7ee7e	164.40,543.80,61.20,21.42|560.02|6634b282	f44baa2325279633
9	UNCHANGED	8	264	175.45,208.61,39.10,29.32|229.27|668ca8fa	37.66,715.70,161.50,22.10|732.20|65afb2ac	3ebf43a5cc1111f0	8	264	175.45,208.61,39.10,29.32|229.27|668ca8fa	37.66,715.70,161.50,22.10|732.20|65afb2ac	3ebf43a5cc1111f0	8	264	175.45,208.61,39.10,29.32|229.27|668ca8fa	37.66,715.70,161.50,22.10|732.20|65afb2ac	3ebf43a5cc1111f0
10	UNCHANGED	5	130	126.58,208.61,136.85,29.32|229.27|afd55096	294.25,129.30,76.50,22.10|145.73|c0d1b778	5764e88c9423e9e8	5	130	126.58,208.61,136.85,29.32|229.27|afd55096	294.25,129.30,76.50,22.10|145.73|c0d1b778	5764e88c9423e9e8	5	130	126.58,208.61,136.85,29.32|229.27|afd55096	294.25,129.30,76.50,22.10|145.73|c0d1b778	5764e88c9423e9e8
