# line-break baseline — geometry + text DIGESTS only, no book text
# spine	pages	lines	firstLine	lastLine	sha
0	1	0	-	-	e3b0c44298fc1c14
1	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f
2	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f
3	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f
4	12	26	130.59,29.85,17.69,23.21|47.80|0eb7ee7e	164.64,543.80,60.72,19.12|558.80|0b539352	7a2d43bb5d1e21f8
5	16	30	130.59,29.85,17.69,23.21|47.80|0eb7ee7e	127.67,543.80,134.66,19.12|558.80|04f5ac78	ffb6122ecc5b1a15
6	19	33	130.59,29.85,17.69,23.21|47.80|0eb7ee7e	164.64,543.80,60.72,19.12|558.80|f43252d7	ca5e78faf538bf79
7	10	24	130.59,29.85,17.69,23.21|47.80|0eb7ee7e	164.64,543.80,60.72,19.12|558.80|6634b282	59974dd47f2542b2
8	15	29	130.59,29.85,17.69,23.21|47.80|0eb7ee7e	164.64,543.80,60.72,19.12|558.80|6634b282	461ee4fbfd5dc403
9	8	264	175.45,208.61,39.10,29.32|229.27|668ca8fa	37.66,715.70,161.50,22.10|732.20|65afb2ac	3ebf43a5cc1111f0
10	5	130	126.58,208.61,136.85,29.32|229.27|afd55096	294.25,129.30,76.50,22.10|145.73|c0d1b778	5764e88c9423e9e8
11	3	88	136.35,208.61,117.30,29.32|229.27|fa5d77af	183.75,737.90,187.00,22.10|754.33|8dd84b6e	7a036c13a5599357
12	4	90	155.90,208.61,78.20,29.32|229.27|5a2e57ce	183.75,401.30,187.00,22.10|417.73|2d49cd75	3ad99a69d0986451
13	1	1	19.25,29.00,4.35,22.10|46.09|abfbd10d	19.25,29.00,4.35,22.10|46.09|abfbd10d	cab0f027f7f89a6f
14	1	5	164.02,146.87,61.97,33.28|171.52|f202e4c8	103.20,213.43,183.60,33.28|237.95|1e0eb510	de2eb00b5f195453
15	23	848	19.25,257.49,340.00,22.10|274.39|6c5c8508	37.66,409.80,177.65,22.10|426.30|4a74da37	f75828eb40b1a3e8
16	2	40	164.02,146.87,61.97,33.28|171.52|3d5245c8	37.66,188.80,258.40,22.10|205.30|e12b3302	32fa8190ce4f23a1
17	16	589	19.25,257.49,337.49,22.10|274.59|391c3e45	37.66,454.00,48.45,22.10|470.50|2e0d98ef	da4c1490739bca29
18	1	7	164.02,146.87,61.97,33.28|171.52|d9a00705	37.66,313.90,261.21,22.10|330.40|4a31766f	5f9ea5344b4bccc7
19	22	823	19.25,257.49,337.49,22.10|274.59|9f16f1b1	37.66,542.40,215.18,22.10|558.90|1b657007	75819c64fe1923b3
20	1	15	164.02,146.87,61.97,33.28|171.52|c5ca50bf	37.66,490.70,193.80,22.10|507.20|ff032817	1f5bb39ed7f2355f
21	14	517	19.25,257.49,303.55,22.10|274.59|c02273d0	37.66,498.20,290.70,22.10|514.70|1f9c0ff8	6d4bce5c96117f0d
22	1	14	164.02,146.87,61.97,33.28|171.52|a3931705	37.66,468.60,48.45,22.10|485.10|bc81da20	4f10f6fc7a4c9232
23	28	991	19.25,257.49,337.02,22.10|274.59|2b23d450	37.66,321.40,209.95,22.10|337.90|07f96915	d587fc800eff3e2a
24	1	8	164.02,146.87,61.97,33.28|171.52|adf144d0	37.66,358.10,258.40,22.10|374.60|6232697a	64b295e29640483c
25	14	489	19.25,257.49,337.25,22.10|274.59|fef9cbef	37.66,321.40,96.90,22.10|337.90|6b9cb9e7	f74a0dd36535893c
26	1	9	164.02,146.87,61.97,33.28|171.52|837fb4fa	37.66,380.20,129.20,22.10|396.70|bd9fe5e8	5172973abf2b5f91
27	14	502	19.25,257.49,337.25,22.10|274.59|a044aa87	37.66,498.20,290.70,22.10|514.70|21be26c8	433a54911e597e4a
28	1	8	164.02,146.87,61.97,33.28|171.52|1a82d0d0	37.66,358.10,129.20,22.10|374.60|6b6324c9	b2c1a6a97863a82c
29	13	442	19.25,257.49,303.78,22.10|274.59|a7dea468	37.66,785.50,96.90,22.10|802.00|eeed701e	fd571c294e7ce51f
30	1	5	164.02,146.87,61.97,33.28|171.52|60bdccd2	103.20,213.43,183.60,33.28|237.95|07ffb2c7	8fe1e69c5e6bd3cc
31	12	414	19.25,257.49,320.17,22.10|274.59|6c8ed029	37.66,12.00,177.65,22.10|28.50|f6878b05	92abf2972fac2ae9
32	1	5	164.02,146.87,61.97,33.28|171.52|5b110e6e	103.20,213.43,183.60,33.28|237.95|5e4ec501	b916b9dd5f75cb17
33	10	310	19.25,257.49,337.49,22.10|274.59|1f051d79	37.66,78.30,290.70,22.10|94.80|47e1ed86	8515b0c8f22e03bf
34	1	5	153.69,146.87,82.62,33.28|171.52|213e31e6	103.20,213.43,183.60,33.28|237.95|3dd8233d	ceb7aefc7e027b80
35	11	380	19.25,257.49,337.25,22.10|274.59|528b30fd	37.66,520.30,113.05,22.10|536.80|d6c7592a	3a0b4dc1d6d77a7e
