utc,monotonic_s,scenario,pid,kind,cpu_ps_percent,cpu_total_s,rss_mib
2026-09-07T15:47:26.173263+00:00,342418.459,final-default-off-continuous,68738,reader,13.5,11.800,642.031
2026-09-07T15:47:26.173304+00:00,342418.459,final-default-off-continuous,68745,webcontent,0.0,3.960,278.562
2026-09-07T15:47:26.173309+00:00,342418.459,final-default-off-continuous,68747,webcontent,0.0,3.880,278.609
2026-09-07T15:47:26.173312+00:00,342418.459,final-default-off-continuous,68748,webcontent,0.0,3.990,278.594
2026-09-07T15:47:26.173314+00:00,342418.459,final-default-off-continuous,68749,webcontent,0.0,3.910,278.672
2026-09-07T15:47:26.173317+00:00,342418.459,final-default-off-continuous,68751,webkit_network,0.0,0.380,119.484
2026-09-07T15:47:27.187865+00:00,342419.469,final-default-off-continuous,68738,reader,7.9,11.950,631.641
2026-09-07T15:47:27.187905+00:00,342419.469,final-default-off-continuous,68745,webcontent,0.0,3.960,278.562
2026-09-07T15:47:27.187911+00:00,342419.469,final-default-off-continuous,68747,webcontent,0.0,3.880,278.609
2026-09-07T15:47:27.187915+00:00,342419.469,final-default-off-continuous,68748,webcontent,0.0,3.990,278.594
2026-09-07T15:47:27.187919+00:00,342419.469,final-default-off-continuous,68749,webcontent,0.0,3.910,278.672
2026-09-07T15:47:27.187922+00:00,342419.469,final-default-off-continuous,68751,webkit_network,0.0,0.380,119.484
2026-09-07T15:47:28.174771+00:00,342420.477,final-default-off-continuous,68738,reader,8.1,12.080,632.828
2026-09-07T15:47:28.174809+00:00,342420.477,final-default-off-continuous,68745,webcontent,0.0,3.960,278.562
2026-09-07T15:47:28.174814+00:00,342420.477,final-default-off-continuous,68747,webcontent,0.0,3.880,278.609
2026-09-07T15:47:28.174817+00:00,342420.477,final-default-off-continuous,68748,webcontent,0.0,3.990,278.594
2026-09-07T15:47:28.174820+00:00,342420.477,final-default-off-continuous,68749,webcontent,0.0,3.910,278.672
2026-09-07T15:47:28.174824+00:00,342420.477,final-default-off-continuous,68751,webkit_network,0.0,0.380,119.484
2026-09-07T15:47:29.200604+00:00,342421.484,final-default-off-continuous,68738,reader,17.7,12.180,632.969
2026-09-07T15:47:29.200647+00:00,342421.484,final-default-off-continuous,68745,webcontent,0.0,3.960,278.562
2026-09-07T15:47:29.200654+00:00,342421.484,final-default-off-continuous,68747,webcontent,0.0,3.880,278.609
2026-09-07T15:47:29.200658+00:00,342421.484,final-default-off-continuous,68748,webcontent,0.0,3.990,278.594
2026-09-07T15:47:29.200661+00:00,342421.484,final-default-off-continuous,68749,webcontent,0.0,3.910,278.672
2026-09-07T15:47:29.200664+00:00,342421.484,final-default-off-continuous,68751,webkit_network,0.0,0.380,119.484
2026-09-07T15:47:30.220608+00:00,342422.494,final-default-off-continuous,68738,reader,2.8,12.250,633.688
2026-09-07T15:47:30.220652+00:00,342422.494,final-default-off-continuous,68745,webcontent,0.0,3.960,278.562
2026-09-07T15:47:30.220657+00:00,342422.494,final-default-off-continuous,68747,webcontent,0.0,3.880,278.609
2026-09-07T15:47:30.220662+00:00,342422.494,final-default-off-continuous,68748,webcontent,0.0,3.990,278.594
2026-09-07T15:47:30.220665+00:00,342422.494,final-default-off-continuous,68749,webcontent,0.0,3.910,278.672
2026-09-07T15:47:30.220668+00:00,342422.494,final-default-off-continuous,68751,webkit_network,0.0,0.380,119.484
2026-09-07T15:47:31.213348+00:00,342423.505,final-default-off-continuous,68738,reader,9.4,12.360,648.859
