utc,monotonic_s,scenario,pid,kind,cpu_ps_percent,cpu_total_s,rss_mib
2026-09-07T17:15:13.171475+00:00,347685.421,snapshot-settled-after-default-off-continuous,82878,reader,3.5,11.200,626.344
2026-09-07T17:15:13.171535+00:00,347685.421,snapshot-settled-after-default-off-continuous,82886,webcontent,18.4,4.140,278.844
2026-09-07T17:15:13.171542+00:00,347685.421,snapshot-settled-after-default-off-continuous,82887,webcontent,18.5,4.180,278.734
2026-09-07T17:15:13.171546+00:00,347685.421,snapshot-settled-after-default-off-continuous,82889,webcontent,18.5,4.260,278.828
2026-09-07T17:15:13.171549+00:00,347685.421,snapshot-settled-after-default-off-continuous,82890,webcontent,16.6,4.240,278.797
2026-09-07T17:15:13.171552+00:00,347685.421,snapshot-settled-after-default-off-continuous,82892,webkit_network,0.0,0.390,119.500
2026-09-07T17:15:14.192774+00:00,347686.432,snapshot-settled-after-default-off-continuous,82878,reader,16.5,11.300,643.266
2026-09-07T17:15:14.192836+00:00,347686.432,snapshot-settled-after-default-off-continuous,82886,webcontent,0.5,4.160,278.766
2026-09-07T17:15:14.192842+00:00,347686.432,snapshot-settled-after-default-off-continuous,82887,webcontent,0.5,4.190,278.656
2026-09-07T17:15:14.192846+00:00,347686.432,snapshot-settled-after-default-off-continuous,82889,webcontent,0.5,4.270,278.750
2026-09-07T17:15:14.192849+00:00,347686.432,snapshot-settled-after-default-off-continuous,82890,webcontent,0.6,4.260,278.719
2026-09-07T17:15:14.192852+00:00,347686.432,snapshot-settled-after-default-off-continuous,82892,webkit_network,0.0,0.390,119.500
2026-09-07T17:15:15.199719+00:00,347687.442,snapshot-settled-after-default-off-continuous,82878,reader,4.0,11.440,632.531
2026-09-07T17:15:15.199765+00:00,347687.442,snapshot-settled-after-default-off-continuous,82886,webcontent,0.0,4.160,278.766
2026-09-07T17:15:15.199770+00:00,347687.442,snapshot-settled-after-default-off-continuous,82887,webcontent,0.0,4.190,278.656
2026-09-07T17:15:15.199774+00:00,347687.442,snapshot-settled-after-default-off-continuous,82889,webcontent,0.0,4.270,278.750
2026-09-07T17:15:15.199777+00:00,347687.442,snapshot-settled-after-default-off-continuous,82890,webcontent,0.0,4.260,278.719
2026-09-07T17:15:15.199781+00:00,347687.442,snapshot-settled-after-default-off-continuous,82892,webkit_network,0.0,0.390,119.484
