utc,monotonic_s,scenario,pid,kind,cpu_ps_percent,cpu_total_s,rss_mib
2026-09-07T18:02:16.671446+00:00,349843.011,snapshot-idle-diagnosis2-before-review-idle,87765,reader,0.6,17.760,825.516
2026-09-07T18:02:16.671482+00:00,349843.011,snapshot-idle-diagnosis2-before-review-idle,87771,webcontent,0.0,3.770,278.594
2026-09-07T18:02:16.671487+00:00,349843.011,snapshot-idle-diagnosis2-before-review-idle,87772,webcontent,0.0,3.650,278.547
2026-09-07T18:02:16.671490+00:00,349843.011,snapshot-idle-diagnosis2-before-review-idle,87773,webcontent,0.0,3.730,278.562
2026-09-07T18:02:16.671493+00:00,349843.011,snapshot-idle-diagnosis2-before-review-idle,87774,webcontent,0.0,3.630,278.531
2026-09-07T18:02:16.671496+00:00,349843.011,snapshot-idle-diagnosis2-before-review-idle,87776,webkit_network,0.0,0.390,119.578
2026-09-07T18:02:16.671499+00:00,349843.011,snapshot-idle-diagnosis2-before-review-idle,87785,webcontent,0.0,1.960,295.094
2026-09-07T18:02:16.671502+00:00,349843.011,snapshot-idle-diagnosis2-before-review-idle,87786,webcontent,0.0,3.480,294.656
2026-09-07T18:02:16.671504+00:00,349843.011,snapshot-idle-diagnosis2-before-review-idle,87787,webcontent,0.0,3.530,295.312
2026-09-07T18:02:16.671507+00:00,349843.011,snapshot-idle-diagnosis2-before-review-idle,87788,webcontent,0.0,3.580,278.922
2026-09-07T18:02:16.671509+00:00,349843.011,snapshot-idle-diagnosis2-before-review-idle,87793,webkit_gpu,0.0,0.420,162.875
2026-09-07T18:02:17.700863+00:00,349844.021,snapshot-idle-diagnosis2-before-review-idle,87765,reader,0.3,17.760,825.516
2026-09-07T18:02:17.700919+00:00,349844.021,snapshot-idle-diagnosis2-before-review-idle,87771,webcontent,0.0,3.770,278.594
2026-09-07T18:02:17.700925+00:00,349844.021,snapshot-idle-diagnosis2-before-review-idle,87772,webcontent,0.0,3.650,278.547
2026-09-07T18:02:17.700929+00:00,349844.021,snapshot-idle-diagnosis2-before-review-idle,87773,webcontent,0.0,3.730,278.562
2026-09-07T18:02:17.700932+00:00,349844.021,snapshot-idle-diagnosis2-before-review-idle,87774,webcontent,0.0,3.630,278.531
2026-09-07T18:02:17.700936+00:00,349844.021,snapshot-idle-diagnosis2-before-review-idle,87776,webkit_network,0.0,0.390,119.578
2026-09-07T18:02:17.700939+00:00,349844.021,snapshot-idle-diagnosis2-before-review-idle,87785,webcontent,0.0,1.960,295.094
2026-09-07T18:02:17.700942+00:00,349844.021,snapshot-idle-diagnosis2-before-review-idle,87786,webcontent,0.0,3.480,294.656
2026-09-07T18:02:17.700945+00:00,349844.021,snapshot-idle-diagnosis2-before-review-idle,87787,webcontent,0.0,3.530,295.312
2026-09-07T18:02:17.700949+00:00,349844.021,snapshot-idle-diagnosis2-before-review-idle,87788,webcontent,0.0,3.580,278.906
2026-09-07T18:02:17.700952+00:00,349844.021,snapshot-idle-diagnosis2-before-review-idle,87793,webkit_gpu,0.0,0.420,162.875
2026-09-07T18:02:18.676973+00:00,349845.022,snapshot-idle-diagnosis2-before-review-idle,87765,reader,0.0,17.770,825.500
